...1,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,view_history,trial,character_choice,stimulus_dict,accuracy,correct_response,ball_pos,ego_ball_visible,ego_can_infer,alter_ball_visible,alter_can_infer,collective_ball_visible,collective_can_infer,search_locations,alter_occluders,ego_occluders,accuracy_bool,feedback,age,ethnicity,gender,race,overall_accuracy,bonus,workerid
26,NA,NA,NA,NA,NA,survey-html-form,318,650771,0.0-293.0,12844,NA,"{""feedback"":"""",""age"":""31"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Non-Hispanic,Female,Black/African American,0.5902777777777778,0.5902777777777778,3ym48lgaln
27,NA,NA,NA,NA,NA,survey-html-form,318,475800,0.0-293.0,11835,NA,"{""feedback"":"""",""age"":""23"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Non-Hispanic,Female,White,0.6597222222222222,0.6597222222222222,40261lwouf
28,NA,NA,NA,NA,NA,survey-html-form,318,590808,0.0-293.0,38062,NA,"{""feedback"":"""",""age"":""57"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,Non-Hispanic,Female,White,0.5694444444444444,0.5694444444444444,4h0f2pmrt7
29,NA,NA,NA,NA,NA,survey-html-form,318,433593,0.0-293.0,28940,NA,"{""feedback"":""I was trying to find any type of pattern."",""age"":""36"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I was trying to find any type of pattern.,36,Non-Hispanic,Female,White,0.6180555555555556,0.6180555555555556,4hz6n0deg5
30,NA,NA,NA,NA,NA,survey-html-form,318,685249,0.0-293.0,117020,NA,"{""feedback"":""Whether the other character could see the ball and tried to look for patterns when they could not. "",""age"":""45"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whether the other character could see the ball and tried to look for patterns when they could not.,45,Non-Hispanic,Male,White,0.6458333333333334,0.6458333333333334,4loy07komv
31,NA,NA,NA,NA,NA,survey-html-form,318,491469,0.0-293.0,38803,NA,"{""feedback"":""Whether or not Sam could see the red ball on their side of the table."",""age"":""24"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whether or not Sam could see the red ball on their side of the table.,24,Non-Hispanic,Female,White,0.6180555555555556,0.6180555555555556,4ou41qfex4
32,NA,NA,NA,NA,NA,survey-html-form,318,474836,0.0-293.0,56849,NA,"{""feedback"":""When it was not visible, I considered previous locations of the ball and previous guesses that Sam made."",""age"":""36"",""gender"":""Male"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"When it was not visible, I considered previous locations of the ball and previous guesses that Sam made.",36,Non-Hispanic,Male,Black/African American,0.6180555555555556,0.6180555555555556,4rxr83424b
33,NA,NA,NA,NA,NA,survey-html-form,318,575723,0.0-293.0,33424,NA,"{""feedback"":""I just picked whatever made sense in my head at the time."",""age"":""48"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I just picked whatever made sense in my head at the time.,48,Non-Hispanic,Male,White,0.6319444444444444,0.6319444444444444,4vqkfplraz
34,NA,NA,NA,NA,NA,survey-html-form,318,588678,0.0-293.0,73382,NA,"{""feedback"":""mostly I just went with what I felt or what was logical"",""age"":""42"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mostly I just went with what I felt or what was logical,42,Non-Hispanic,Female,White,0.6597222222222222,0.6597222222222222,51gfkdoeq9
35,NA,NA,NA,NA,NA,survey-html-form,318,508779,0.0-293.0,26298,NA,"{""feedback"":""Guessed"",""age"":""68"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guessed,68,Non-Hispanic,Male,White,0.5416666666666666,0.5416666666666666,55edgn21x6
36,NA,NA,NA,NA,NA,survey-html-form,318,501761,0.0-293.0,93976,NA,"{""feedback"":""I tried to find patterns in his selections, but mostly I just went with my gut instinct and tried not to overthink my choices too much. I was obviously striving for accuracy, but I tried not to stress too much about it because anxiety can affect my cognition at times if I get flustered."",""age"":""43"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":""""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I tried to find patterns in his selections, but mostly I just went with my gut instinct and tried not to overthink my choices too much. I was obviously striving for accuracy, but I tried not to stress too much about it because anxiety can affect my cognition at times if I get flustered.",43,NA,Male,White,0.6111111111111112,0.6111111111111112,5bukuggdjh
37,NA,NA,NA,NA,NA,survey-html-form,318,342535,0.0-293.0,8918,NA,"{""feedback"":"""",""age"":""32"",""gender"":""Male"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,Non-Hispanic,Male,Asian,0.7222222222222222,0.7222222222222222,5cr1mksuu1
38,NA,NA,NA,NA,NA,survey-html-form,318,522689,0.0-293.0,13733,NA,"{""feedback"":""Nothing I can think of"",""age"":""33"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nothing I can think of,33,Non-Hispanic,Male,White,0.6388888888888888,0.6388888888888888,5do8am51a1
39,NA,NA,NA,NA,NA,survey-html-form,318,961050,0.0-293.0,109628,NA,"{""feedback"":""If he could see it I chose that one. I he couldn't see the ball in one I chose One of the others at random\n"",""age"":""71"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"If he could see it I chose that one. I he couldn't see the ball in one I chose One of the others at random
",71,Non-Hispanic,Male,White,0.6458333333333334,0.6458333333333334,64579q55hc
40,NA,NA,NA,NA,NA,survey-html-form,318,473626,0.0-293.0,52324,NA,"{""feedback"":""I noticed there was a pattern mid-way through the experiment and it helped predict where Sam would pick the ball. "",""age"":""43"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I noticed there was a pattern mid-way through the experiment and it helped predict where Sam would pick the ball.,43,Non-Hispanic,Female,Black/African American,0.6597222222222222,0.6597222222222222,64m3cuuytf
41,NA,NA,NA,NA,NA,survey-html-form,318,454285,0.0-293.0,18698,NA,"{""feedback"":""I tried to see the scene from his perspective"",""age"":""36"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I tried to see the scene from his perspective,36,Non-Hispanic,Male,White,0.5902777777777778,0.5902777777777778,6ys0488g84
42,NA,NA,NA,NA,NA,survey-html-form,318,439430,0.0-293.0,53491,NA,"{""feedback"":""If sam could see the red ball and I could not"",""age"":""45"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,If sam could see the red ball and I could not,45,Hispanic,Male,White,0.6180555555555556,0.6180555555555556,743ot770au
43,NA,NA,NA,NA,NA,survey-html-form,318,443694,0.0-293.0,69601,NA,"{""feedback"":""I looked at whether the ball was visible to Sam first. Then I looked at what baskets were visible to Sam. Then I looked at how many times he selected a specific basket when no baskets were visible."",""age"":""41"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I looked at whether the ball was visible to Sam first. Then I looked at what baskets were visible to Sam. Then I looked at how many times he selected a specific basket when no baskets were visible.,41,Non-Hispanic,Female,White,0.7013888888888888,0.7013888888888888,76lclkzhqj
44,NA,NA,NA,NA,NA,survey-html-form,318,311553,0.0-293.0,26298,NA,"{""feedback"":""Just going with the flow."",""age"":""26"",""gender"":""Female"",""other_gender"":"""",""race"":""Multiracial"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Just going with the flow.,26,Non-Hispanic,Female,Multiracial,0.6388888888888888,0.6388888888888888,7bmmn65zkg
45,NA,NA,NA,NA,NA,survey-html-form,318,392808,0.0-293.0,26881,NA,"{""feedback"":""I only relied on what I could actually see. The rest was simply just guessing."",""age"":""38"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I only relied on what I could actually see. The rest was simply just guessing.,38,Non-Hispanic,Male,White,0.5486111111111112,0.5486111111111112,7dx6wla8m9
46,NA,NA,NA,NA,NA,survey-html-form,318,703707,0.0-293.0,25718,NA,"{""feedback"":""what sam can see and guess"",""age"":""34"",""gender"":""Female"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,what sam can see and guess,34,Non-Hispanic,Female,Asian,0.7083333333333334,0.7083333333333334,7eatx9dbhg
47,NA,NA,NA,NA,NA,survey-html-form,318,368382,0.0-293.0,19377,NA,"{""feedback"":""Whether or not Sam could see the ball"",""age"":""25"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whether or not Sam could see the ball,25,Non-Hispanic,Female,White,0.6527777777777778,0.6527777777777778,7u64j68gv4
48,NA,NA,NA,NA,NA,survey-html-form,318,370534,0.0-293.0,23928,NA,"{""feedback"":""I looked at what sam and I could both see and then made a decision based on that. "",""age"":""34"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I looked at what sam and I could both see and then made a decision based on that.,34,Non-Hispanic,Male,White,0.6180555555555556,0.6180555555555556,7v4bf755eh
49,NA,NA,NA,NA,NA,survey-html-form,318,511488,0.0-293.0,38369,NA,"{""feedback"":""If Sam could see the ball or not. It didn't matter if I could, but it did matter if he could"",""age"":""31"",""gender"":""Non-binary"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"If Sam could see the ball or not. It didn't matter if I could, but it did matter if he could",31,Non-Hispanic,Non-binary,Black/African American,0.6041666666666666,0.6041666666666666,7ygozqsbju
50,NA,NA,NA,NA,NA,survey-html-form,318,412719,0.0-293.0,36910,NA,"{""feedback"":""just what i thought i would pick if i was sam"",""age"":""30"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,just what i thought i would pick if i was sam,30,Non-Hispanic,Female,White,0.6388888888888888,0.6388888888888888,80f19hbm51
51,NA,NA,NA,NA,NA,survey-html-form,318,654838,0.0-293.0,51796,NA,"{""feedback"":""I just tried to imagine I was Sam and then notice his patterns for picking (if there were any)."",""age"":""39"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I just tried to imagine I was Sam and then notice his patterns for picking (if there were any).,39,Non-Hispanic,Female,Black/African American,0.6666666666666666,0.6666666666666666,84hzchkpuv
52,NA,NA,NA,NA,NA,survey-html-form,318,799548,0.0-293.0,27664,NA,"{""feedback"":""Just guessing mostely"",""age"":""72"",""gender"":""Female"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}",NA,exit_survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Just guessing mostely,72,Non-Hispanic,Female,White,0.6180555555555556,0.6180555555555556,856lqplz87
